Suburb,CatCount,DogCount,TotalPet,NotRegistered,Registered
ANAKIE,18,126,144,21,123
ARMSTRONG CREEK,74,331,405,83,322
AVALON,6,72,78,16,62
BALLIANG,1,27,28,6,22
BARWON HEADS,121,680,801,171,630
BATESFORD,5,53,58,14,44
BELL PARK,172,578,750,156,593
BELL POST HILL,198,604,802,188,614
BELLARINE,13,46,59,12,47
BELMONT,708,2085,2793,583,2209
BREAKWATER,54,178,232,53,179
BREAMLEA,9,26,35,8,27
CERES,16,64,80,7,73
CHARLEMONT,15,89,104,26,78
CLIFTON SPRINGS,421,1509,1930,389,1541
CONNEWARRE,6,86,92,26,66
CORIO,714,2342,3056,752,2303
CURLEWIS,37,180,217,35,182
DRUMCONDRA,28,95,123,21,102
DRYSDALE,238,832,1070,224,846
EAST GEELONG,212,627,839,169,669
FYANSFORD,5,42,47,13,34
GEELONG,166,506,672,151,517
GEELONG WEST,336,885,1221,304,916
GROVEDALE,783,2225,3008,574,2434
HAMLYN HEIGHTS,275,829,1104,229,873
HERNE HILL,167,527,694,129,565
HIGHTON,835,2403,3238,586,2651
INDENTED HEAD,45,195,240,41,198
LARA,897,2900,3797,798,2998
LEOPOLD,594,2182,2776,544,2230
LITTLE RIVER,16,124,140,32,108
LOVELY BANKS,86,348,434,80,354
MANIFOLD HEIGHTS,107,363,470,98,371
MANNERIM,5,36,41,9,32
MARCUS HILL,5,35,40,3,37
MARSHALL,75,230,305,64,241
MOOLAP,66,303,369,78,288
MOORABOOL,2,26,28,10,18
MOUNT DUNEED,13,73,86,21,65
NEWCOMB,226,691,917,226,691
NEWTOWN,469,1287,1756,361,1394
NORLANE,375,1143,1518,409,1108
NORTH GEELONG,113,304,417,106,311
NORTH SHORE,19,58,77,22,55
OCEAN GROVE,587,2543,3130,642,2486
POINT LONSDALE,31,178,209,48,161
PORTARLINGTON,146,592,738,148,589
RIPPLESIDE,47,117,164,36,128
SOUTH GEELONG,51,142,193,30,163
ST ALBANS PARK,282,884,1166,248,918
ST LEONARDS,89,476,565,106,459
STAUGHTON VALE,5,18,23,4,19
SWAN BAY,2,11,13,2,11
THOMSON,97,277,374,118,256
WALLINGTON,64,340,404,100,304
WANDANA HEIGHTS,92,311,403,63,340
WAURN PONDS,135,603,738,131,607
WHITTINGTON,221,710,931,233,698
TotalPet,10595,35547,46142,9757,36360
