Name,Count
Bella,858
Max,605
Charlie,595
Molly,588
Ruby,398
Oscar,387
Jack,372
Coco,359
Buddy,354
Roxy,329
Lucy,329
Toby,304
Rosie,280
Millie,266
Daisy,258
Missy,244
Bonnie,244
Maggie,229
Milly,224
Archie,215
Harry,214
Chloe,207
Jasper,195
Milo,191
Lily,189
Sam,187
Poppy,185
Tilly,183
Ollie,181
Mia,178
Jessie,176
Tess,175
BAILEY,175
Rusty,171
Monty,167
Lilly,166
Zoe,164
Diesel,164
Sasha,163
Misty,160
Rocky,158
Rex,157
Buster,156
Billy,154
(blank),151
Tiger,147
George,144
Holly,139
Cooper,139
Pepper,137
Pepper,137
Harley,136
Jess,132
Penny,127
Marley,124
Barney,123
Pippa,122
Lulu,122
Shadow,116
Lucky,116
SOPHIE,115
Teddy,114
Gus,113
Lola,112
Jet,112
Gypsy,112
Angus,112
Angel,110
Zac,108
Beau,105
Willow,102
Stella,101
Cleo,101
Bear,101
Sally,100
Patch,100
Bobby,99
Sandy,95
Harvey,95
Henry,95
Gemma,95
Leo,94
Honey,93
Murphy,92
Simba,91
Ella,90
Gizmo,85
Frankie,83
Alfie,83
Buffy,83
Benji,82
Dexter,80
Ellie,79
Sammy,78
Indi,78
Belle,78
Banjo,77
Jake,76
Ralph,75
Matilda,75
