Name,Count
Bella,858
Max,605
Charlie,595
Molly,588
Ruby,398
Oscar,387
Jack,372
Coco,359
Buddy,354
Roxy,329
Lucy,329
Toby,304
Rosie,280
Millie,266
Daisy,258
Missy,244
Bonnie,244
Maggie,229
Milly,224
Archie,215
Harry,214
Chloe,207
Jasper,195
Milo,191
Lily,189
Sam,187
Poppy,185
Tilly,183
Ollie,181
Mia,178
Jessie,176
Tess,175
BAILEY,175
Rusty,171
Monty,167
Lilly,166
Zoe,164
Diesel,164
Sasha,163
Misty,160
Rocky,158
Rex,157
Buster,156
Billy,154
(blank),151
Tiger,147
George,144
Holly,139
Cooper,139
Pepper,137
Harley,136
Jess,132
Penny,127
Marley,124
Barney,123
Pippa,122
Lulu,122
Shadow,116
Lucky,116
SOPHIE,115
Teddy,114
Gus,113
Lola,112
Jet,112
Gypsy,112
Angus,112
Angel,110
Zac,108
Beau,105
Willow,102
Stella,101
Cleo,101
Bear,101
Sally,100
Patch,100
Bobby,99
Sandy,95
Harvey,95
Henry,95
Gemma,95
Leo,94
Honey,93
Murphy,92
Simba,91
Ella,90
Gizmo,85
Frankie,83
Alfie,83
Buffy,83
Benji,82
Dexter,80
Ellie,79
Sammy,78
Indi,78
Belle,78
Banjo,77
Jake,76
Ralph,75
Matilda,75
Lexi,75
Hamish,75
Hugo,74
Jazz,73
Smokey,71
Princess,71
Mac,71
Louie,71
Tyson,70
CHESTER,70
Meg,69
Georgie,69
Baxter,68
Indy,67
Abby,67
Polly,66
Bindi,66
Tigger,65
Zeus,65
Sooty,65
Cindy,65
Scruffy,64
Pip,64
Jimmy,64
Basil,64
Bob,61
Ben,61
Luna,60
Eddie,60
Cody,60
Abbey,60
phoebe,59
Kitty,59
Ted,58
Dusty,58
Ziggy,57
Cookie,57
Winnie,55
Storm,55
Charli,55
Bruce,55
Nala,54
Jackson,54
Billie,54
Snoopy,53
Minnie,53
Cassie,53
Ally,53
Bundy,53
Axel,53
Boof,53
Peppa,52
Ginger,52
Snowy,51
Ned,51
Izzy,51
Duke,51
Felix,50
Wally,49
Riley,48
Nellie,48
Fluffy,48
Annie,48
Spike,47
Jemma,47
Lexie,47
Tom,46
Sox,46
Puss,46
Lady,46
Smudge,45
Jax,45
lENNY,45
Darcy,45
Casper,45
Chilli,45
Benny,45
Oliver,44
Pixie,44
Hunter,44
Winston,43
Rufus,43
Louis,43
Jett,43
Koda,43
Jed,43
Pebbles,42
Paddy,42
Roger,42
Cosmo,42
Muffin,41
Jasmine,41
Scout,40
Paris,40
Kelly,40
Ebony,40
Roy,39
Indie,39
Fergus,39
Jackie,39
Dash,39
Amber,39
Tommy,38
Narla,38
Heidi,38
Timmy,37
Spud,37
Sebastian,37
Suzie,37
Mack,37
Evie,37
Bandit,37
Tara,36
Scooby,36
Shelby,36
Rupert,36
Nelson,36
Kira,36
Gracie,36
Charlotte,36
Trixie,35
Mishka,35
Axle,35
Alice,35
Zara,34
Jesse,34
Leroy,34
Benson,34
Boris,34
Ace,34
Thomas,33
Spencer,33
Sadie,33
Summer,33
Sunny,33
Maisie,33
Chelsea,33
Digger,33
Crystal,33
Tessa,32
Tully,32
Tasha,32
Tiny,32
Samson,32
Loki,32
Dozer,32
Boston,32
Wilson,31
Skye,31
PePe,31
Maximus,31
Murray,31
Mickey,31
Kimba,31
Elvis,31
Sparky,30
Piper,30
Jock,30
Fred,30
Clyde,30
Bruno,30
Bronson,30
Amy,30
Bubbles,30
Red,29
Percy,29
Lizzie,29
Koko,29
Floyd,29
Emma,29
Casey,29
Brandy,29
Bronte,29
Woody,28
Reggie,28
Panda,28
Nugget,28
Maddie,28
Mitzi,28
MAISY,28
Candy,28
Bentley,28
Boo,28
Kirra,27
Joey,27
Gidget,27
Frank,27
Betty,27
Zena,26
Tia,26
Sheba,26
Susie,26
Merlin,26
Maya,26
Hank,26
Elly,26
Bluey,26
Boots,26
Tammy,25
Walter,25
Rory,25
Spot,25
Prince,25
Peggy,25
Mollie,25
Maxi,25
Kobi,25
LAYLA,25
Ivy,25
Fifi,25
Chevy,25
Boss,25
Asha,25
Turbo,24
Olive,24
Grace,24
Fudge,24
Buzz,24
Butch,24
Bess,24
Ash,24
Biscuit,24
Blue,24
Tinkerbell,23
Tex,23
Misha,23
Cuddles,23
Buckley,23
Astro,23
Tank,22
Salem,22
Nina,22
Pippin,22
Possum,22
MAVERICK,22
Josie,22
Kevin,22
Junior,22
Lottie,22
Hudson,22
Isabella,22
Indiana,22
Goldie,22
Busta,22
Scooter,21
Sonny,21
Snoop,21
Romeo,21
Robbie,21
Patches,21
Otis,21
