Name,Count,Species,Length
102,1,Dog,3
Mon,1,Dog,3
Tuesday,1,Dog,7
Wednesday,1,Dog,9
April,5,Dog,5
August,1,Dog,6
Jas,2,Dog,3
Friday,3,Dog,6
Sunday,3,Dog,6
"""40""",1,Dog,4
"""BB""",1,Dog,4
"""Q""",1,Dog,3
2 Pack,1,Dog,6
2 Up,1,Dog,4
2Bob,1,Dog,4
A-Angel,1,Dog,7
A-Jay,1,Dog,5
A.J,1,Dog,3
A.J.,2,Dog,4
A.J. (Arnie Junior),1,Dog,19
Aaron,1,Dog,5
Abbey,44,Dog,5
Abbi,2,Dog,4
Abbie,14,Dog,5
Abby,52,Dog,4
Abby (chops),1,Dog,12
Abby Good Dog,1,Dog,13
Abby Rose,1,Dog,9
Abcde,1,Dog,5
Abi,2,Dog,3
Able,1,Dog,4
Ablett,1,Dog,6
Abraham,1,Dog,7
Abree,1,Dog,5
Abrey,1,Dog,5
Ace,30,Dog,3
Acer,1,Dog,4
Achilles,1,Dog,8
Achilles Hector,1,Dog,15
Achillies,2,Dog,9
Achlles,1,Dog,7
Acke,1,Dog,4
Action,1,Dog,6
Ada,8,Dog,3
Adam,1,Dog,4
Addie,3,Dog,5
Addis,2,Dog,5
Addison,1,Dog,7
Addy,3,Dog,4
Adelaide,2,Dog,8
Adeleine,1,Dog,8
Aero,1,Dog,4
Afro,1,Dog,4
Agatha,1,Dog,6
Aggatha,1,Dog,7
Aggie,3,Dog,5
Agnes,2,Dog,5
Agro,2,Dog,4
Ailsa,1,Dog,5
Aimee,2,Dog,5
Airies,1,Dog,6
Aiza,1,Dog,4
AJ,4,Dog,2
AJ Buttons,1,Dog,10
Ajax,5,Dog,4
Ajax (Elizalea O'Toole),1,Dog,23
Ajay,2,Dog,4
Aka,3,Dog,3
Akela,1,Dog,5
Aker,1,Dog,4
Akhen,1,Dog,5
Aki,1,Dog,3
Akira,2,Dog,5
Al,2,Dog,2
Alan,3,Dog,4
Alana,1,Dog,5
Alaska,4,Dog,6
Alaskah,1,Dog,7
Alba,2,Dog,4
Albert,14,Dog,6
Alberto,1,Dog,7
Albi,3,Dog,4
Albie,12,Dog,5
Albus,1,Dog,5
Alby,8,Dog,4
Aldi,1,Dog,4
Alea,1,Dog,4
Alex,9,Dog,4
ALEXANDER,2,Dog,9
ALEXEI,1,Dog,6
Alexi,2,Dog,5
Alexis,3,Dog,6
Alf,3,Dog,3
Alfi,1,Dog,4
Alfie,74,Dog,5
Alfie Girl,1,Dog,10
Alfonso,1,Dog,7
Alfonz,1,Dog,6
Alfred,4,Dog,6
Alfred the 6th,1,Dog,14
Alfy,1,Dog,4
Algi,1,Dog,4
Ali,13,Dog,3
Ali (Ellie),1,Dog,11
Alice,24,Dog,5
Alice Rascal,1,Dog,12
Alifie,1,Dog,6
Alison,2,Dog,6
Alister,1,Dog,7
ALIYAN,1,Dog,6
Alkatraz,1,Dog,8
Alla,2,Dog,4
Allee,1,Dog,5
Allegra Malakellis,1,Dog,18
Allen,1,Dog,5
Alley,1,Dog,5
Alley May,1,Dog,9
Alli,4,Dog,4
Allie,13,Dog,5
Allouette,1,Dog,9
Ally,45,Dog,4
Ally May,1,Dog,8
Alma,1,Dog,4
Almore,1,Dog,6
Alroy,1,Dog,5
Alvin,6,Dog,5
Alvis,1,Dog,5
Alysha,1,Dog,6
Amai,1,Dog,4
Amani,2,Dog,5
Amaya,1,Dog,5
Ambah,1,Dog,5
Amber,30,Dog,5
Amberlee Lara,1,Dog,13
Ambi,1,Dog,4
Ambre,1,Dog,5
Ambrose,2,Dog,7
Ambrouse,1,Dog,8
Amego,1,Dog,5
Amelda,1,Dog,6
Amelia,3,Dog,6
Amelie,3,Dog,6
Ami,1,Dog,3
Amigo,2,Dog,5
Amma,1,Dog,4
Ammo,2,Dog,4
Amos,2,Dog,4
Amy,25,Dog,3
Amy Johnson,1,Dog,11
Ana,1,Dog,3
Anabelle,1,Dog,8
Anais,1,Dog,5
Anakie,1,Dog,6
Analyce,1,Dog,7
Anastasia,1,Dog,9
Andi,1,Dog,4
Andie,2,Dog,5
Ando,1,Dog,4
Andre,4,Dog,5
Andy,2,Dog,4
Aneesha,1,Dog,7
Angel,79,Dog,5
Angela,1,Dog,6
Angelica,1,Dog,8
Angelina,1,Dog,8
Angie,13,Dog,5
Angus,98,Dog,5
"Angus ""Gus""",1,Dog,11
Angus-Mac,1,Dog,9
Ani,1,Dog,3
Aniel,1,Dog,5
Anika,1,Dog,5
Anjing,1,Dog,6
Anna,8,Dog,4
Annabel,1,Dog,7
Annabella,1,Dog,9
Annabelle,5,Dog,9
Annie,38,Dog,5
Annika,1,Dog,6
Anookie,1,Dog,7
Anouk,1,Dog,5
Anse,1,Dog,4
Anthonous,1,Dog,9
Antonina Madaffari,1,Dog,18
Anu,1,Dog,3
Anubis,2,Dog,6
Anuk,1,Dog,4
Anuka,1,Dog,5
Anuna,1,Dog,5
Anzac,4,Dog,5
Apache,3,Dog,6
Apex,1,Dog,4
Aphra,1,Dog,5
Apollo,8,Dog,6
Apple,1,Dog,5
Apricot,1,Dog,7
Apryl,1,Dog,5
"Arabella ""Bell""",1,Dog,15
Aragon,2,Dog,6
Araya,1,Dog,5
Arbe,1,Dog,4
Archa,1,Dog,5
Archee,1,Dog,6
Archer,10,Dog,6
Archi,5,Dog,5
Archibald,1,Dog,9
Archibald Arnold,1,Dog,16
Archie,188,Dog,6
Archimedes,1,Dog,10
Archor,1,Dog,6
Ardi,1,Dog,4
Ares,1,Dog,4
Arfa,1,Dog,4
Argo,1,Dog,4
Argos,1,Dog,5
Argus,1,Dog,5
Ari,13,Dog,3
Aria,1,Dog,4
Ariel,2,Dog,5
Arizona,1,Dog,7
Arj,1,Dog,3
Arjay,1,Dog,5
Arky,1,Dog,4
Arley,1,Dog,5
Arli,1,Dog,4
Arlie,3,Dog,5
Arlo,4,Dog,4
Armani,7,Dog,6
Arni,2,Dog,4
Arnie,14,Dog,5
Arnold,10,Dog,6
Arny,1,Dog,4
Arpie,1,Dog,5
Arrabella Jane,1,Dog,14
Arron,1,Dog,5
Arrow,4,Dog,5
Art,1,Dog,3
Artemis,2,Dog,7
Arthur,6,Dog,6
Artie,1,Dog,5
Arwen,2,Dog,5
Arya,2,Dog,4
Asa,1,Dog,3
Asachia,1,Dog,7
Ash,9,Dog,3
Asha,20,Dog,4
Ashaa,1,Dog,5
Ashanti,1,Dog,7
Ashbey,1,Dog,6
Asher,12,Dog,5
Ashishka,1,Dog,8
Ashka,2,Dog,5
Ashlee,1,Dog,6
Ashley,2,Dog,6
Ashton,4,Dog,6
Asia,3,Dog,4
Aslan,2,Dog,5
Asta,1,Dog,4
Asterix,2,Dog,7
Asteroid,1,Dog,8
Asti,2,Dog,4
Astra,3,Dog,5
Astrid,3,Dog,6
Astro,20,Dog,5
Athena,1,Dog,6
Atilla,1,Dog,6
Atlas,1,Dog,5
Atom,1,Dog,4
Attica,1,Dog,6
Atticus,4,Dog,7
Atticus Pigdon,1,Dog,14
Attila,1,Dog,6
Attlas,1,Dog,6
Audi,1,Dog,4
Audio,1,Dog,5
Audrey,16,Dog,6
AUDRIE,1,Dog,6
Augie,2,Dog,5
Augustus,2,Dog,8
Aunty Ev,1,Dog,8
Aurelia,1,Dog,7
Aureus,1,Dog,6
Aurora,2,Dog,6
Aussi,1,Dog,5
Aussie,19,Dog,6
Austin,15,Dog,6
Autumn,4,Dog,6
Auzzie,3,Dog,6
Ava,12,Dog,3
Avana,1,Dog,5
Ax,1,Dog,2
Axal,1,Dog,4
Axe,1,Dog,3
Axel,50,Dog,4
Axl,6,Dog,3
Axle,33,Dog,4
Axyl,1,Dog,4
Aya,1,Dog,3
Ayce,2,Dog,4
Ayda,1,Dog,4
Ayeshn,1,Dog,6
Ayla,2,Dog,4
Aylea,1,Dog,5
Ayra,1,Dog,4
Ayva Lily,1,Dog,9
Azlan,1,Dog,5
Azra,1,Dog,4
Azul,1,Dog,4
B,2,Dog,1
B J,1,Dog,3
B Jay,1,Dog,5
B.J,2,Dog,3
B.J.,3,Dog,4
Babe,6,Dog,4
Babi Ghorling,1,Dog,13
Babs,1,Dog,4
Baby,5,Dog,4
Baby Bell,1,Dog,9
Baby Girl,2,Dog,9
Bacchus,1,Dog,7
Bach,2,Dog,4
Baci,4,Dog,4
Bacio,1,Dog,5
Bacon,1,Dog,5
Badger,4,Dog,6
Bagel,1,Dog,5
Baggins,1,Dog,7
Baggles,1,Dog,7
Bail,1,Dog,4
Bailee,5,Dog,6
Baileigh,2,Dog,8
BAILEY,156,Dog,6
Bailey Holmes,1,Dog,13
Baillee,1,Dog,7
Bails,1,Dog,5
Baker,2,Dog,5
Bakstar,1,Dog,7
Balaram,1,Dog,7
Baldrick,1,Dog,8
Bali,1,Dog,4
Balka,1,Dog,5
Bally,1,Dog,5
Ballydoon Celtic Boy,1,Dog,20
Baloo,1,Dog,5
Balto,1,Dog,5
Balzamon,1,Dog,8
Bam,6,Dog,3
Bam Bam,5,Dog,7
Bambi,8,Dog,5
Bambo,1,Dog,5
Banana,1,Dog,6
Banchee,2,Dog,7
Banchi Yenie,1,Dog,12
Bandit,27,Dog,6
Bandy,1,Dog,5
Bane,2,Dog,4
Bang,1,Dog,4
Banga,2,Dog,5
Banjo,71,Dog,5
Banks,1,Dog,5
Banner,1,Dog,6
Bannon,1,Dog,6
Banshee,2,Dog,7
Barbara,3,Dog,7
Barish,1,Dog,6
Barker,1,Dog,6
Barklee,1,Dog,7
Barkley,6,Dog,7
Barkly,2,Dog,6
Barnaby,3,Dog,7
Barnee,1,Dog,6
Barnex,1,Dog,6
Barney,113,Dog,6
Barney Junior,1,Dog,13
Barnie,3,Dog,6
Barnji,1,Dog,6
Barnsey,1,Dog,7
Barny,1,Dog,5
Baron,3,Dog,5
