_id,suburb,breed,type,colour,registered,age,animal_nam
1,LEOPOLD,Jack Russell/Fox Terrier,Dog,White/Tan,T,5,Mia
2,CLIFTON SPRINGS,Bull Terrier,Dog,White,F,11,Minx
3,LEOPOLD,Border Collie/Cross,Dog,Black/White,T,12,Tess
4,LEOPOLD,Domestic,Cat,White,F,2,Kitty
5,LEOPOLD,Labrador Cross,Dog,Black/White,F,4,BAILEY
6,LEOPOLD,Australian Bulldog,Dog,Tan/White,T,4,Tank
7,NEWCOMB,German Shepherd,Dog,Black/Tan,T,5,Dexter
8,WHITTINGTON,Border Collie,Dog,Black/White,T,8,Max
9,CLIFTON SPRINGS,Domestic Short Haired,Cat,Tabby/White,T,14,Monty
10,ST LEONARDS,Maltese,Dog,White,T,14,Bobby
11,CLIFTON SPRINGS,Domestic Short Haired,Cat,Ginger,F,5,Ace
12,OCEAN GROVE,Persian Cross,Cat,Grey,T,13,Purdie
13,CLIFTON SPRINGS,Pointer/Cross,Dog,White/Black,T,2,Paddy
14,NEWCOMB,Jack Russell,Dog,Tri Colour,T,5,Rosey
15,NEWCOMB,Domestic,Cat,Tri Colour,T,3,Alice
16,CLIFTON SPRINGS,Hungarian Vizsla,Dog,Tan,T,1,Hunter
17,LEOPOLD,Border Collie/Cross,Dog,Brown/White,T,2,Dexter
18,CLIFTON SPRINGS,Jack Russell,Dog,White/Tan,T,13,Jessie
19,DRYSDALE,Boxer,Dog,Brindle,F,5,Tempe
20,CLIFTON SPRINGS,Burmese,Cat,Blue,F,4,Nelson
21,CLIFTON SPRINGS,Cattle Dog,Dog,Blue,T,13,Keg
22,OCEAN GROVE,Domestic,Cat,Tabby/White,T,,LAYLA
23,MARCUS HILL,Kelpie/Cross,Dog,Black,T,7,Billy
24,CLIFTON SPRINGS,Jack Russell,Dog,Brown/White,T,7,Molley
25,OCEAN GROVE,Border Collie/Poodle,Dog,Black/White,T,1,Sapphyre
26,OCEAN GROVE,Domestic Short Haired,Cat,Grey/Blue,T,4,Kikki
27,OCEAN GROVE,Terrier/Cross,Dog,Ginger/White,F,8,Barney
28,CLIFTON SPRINGS,Whippet,Dog,Grey,F,5,Bruce
29,OCEAN GROVE,English Staffordshire,Dog,Tri Colour,T,,Buddy
30,ST LEONARDS,Jack Russell/Cross,Dog,Brown/White,T,12,Lucy
31,ST LEONARDS,Labrador,Dog,Black,T,9,Coco
32,ST LEONARDS,Domestic Long Haired,Cat,Ginger,T,17,Endora
33,CLIFTON SPRINGS,Maltese/Shih Tzu,Dog,White,T,18,Boo Boo
34,OCEAN GROVE,Domestic,Cat,Tri Colour,T,11,Tilli
35,WALLINGTON,Domestic,Cat,Ginger/White,T,16,Smokey
36,CLIFTON SPRINGS,Cavalier KC Spaniel/Poodle,Dog,Grey/ White,T,5,Bella
37,NEWCOMB,Domestic,Cat,Ginger/White,T,11,Dude
38,WALLINGTON,Bull Terrier,Dog,Black/White,T,9,Joop
39,PORTARLINGTON,Jack Russell,Dog,White/Brown,T,8,Taffy
40,MARCUS HILL,Staffordshire/Cross,Dog,Black/White,T,9,Jess
41,LEOPOLD,Labrador Cross,Dog,Black,F,9,Indy
42,CLIFTON SPRINGS,Border Collie,Dog,Chocolate/White,T,3,Zoe
43,NEWCOMB,Mastiff,Dog,Gold/Brown,T,8,Bull
44,MOOLAP,Domestic Short Haired,Cat,Tortishell/White,T,4,Crunchie
45,CLIFTON SPRINGS,Greyhound,Dog,White/Fawn,T,6,TEXAS
46,CLIFTON SPRINGS,Domestic,Cat,Grey/ White,T,8,TJ
47,CLIFTON SPRINGS,Silky Terrier,Dog,Grey,F,12,Grace
48,OCEAN GROVE,Jack Russell,Dog,Tri Colour,T,14,Butch
49,CLIFTON SPRINGS,Labrador,Dog,Black,F,7,Bonnie
50,NEWCOMB,Spoodle,Dog,Caramel,T,3,Rocket
51,NEWCOMB,Koolie/Cross,Dog,Brown/White,T,3,Nellie
52,NEWCOMB,Staffordshire,Dog,Tan/White,F,3,Onix
53,CLIFTON SPRINGS,Staffordshire,Dog,Black,T,4,Tiffany
54,NEWCOMB,Domestic Short Haired,Cat,Tortishell,T,3,Meg
55,INDENTED HEAD,German S/H Pointer,Dog,Black/Grey,T,3,Alan
56,NEWCOMB,Border Collie/Kelpie,Dog,Black/White,T,4,Nina
